Width (m),Discharge (m3/s),D50 (m),Depth (m),
15.70,13.20,0.0808,0.30,
12.07,11.38,0.1217,0.55,
12.34,13.71,0.128,0.73,
13.08,5.55,0.09,0.37,
49.13,149.71,0.1586,0.34,
15.03,27.61,0.1332,0.76,
20.03,24.81,0.15,0.52,
9.57,7.05,0.0369,0.52,
23.07,31.01,0.1396,0.52,
14.54,20.87,0.015,0.37,
18.56,17.13,0.077,0.98,
35.20,25.60,0.032,0.54,
42.73,92.65,0.0744,0.83,
29.41,37.77,0.1581,0.49,
14.48,9.51,0.1744,0.54,
7.92,3.68,0.0848,0.68,
7.71,3.79,0.0482,0.48,
20.18,27.21,0.095,0.62,
9.63,5.75,0.0983,0.65,
244.00,2270.00,0.03,0.80,
38.40,39.13,0.02547,1.02,
39.62,77.02,0.0172,0.94,
21.03,18.07,0.01602,0.79,
436.00,1532.00,0.0003,0.39,
78.00,39.00,0.00027,0.76,
171.00,55.00,0.00027,0.64,
282.00,276.00,0.00027,0.76,
113.00,256.00,0.000245,0.65,
151.00,640.00,0.000245,0.41,
181.00,249.00,0.000245,1.24,
363.00,730.00,0.00022,0.91,
146.00,127.00,0.00022,0.69,
132.00,326.00,0.00022,0.80,
200.00,220.00,0.00022,0.73,
183.00,335.00,0.0003,1.03,
58.00,228.00,0.000245,0.56,
568.00,1374.00,0.000245,0.46,
56.00,235.00,0.000245,0.96,
504.00,1094.00,0.000245,0.87,
144.00,66.00,0.000245,0.52,
118.00,204.00,0.00022,0.38,
428.00,943.00,0.00018,0.48,
145.00,274.00,0.00018,1.05,
254.00,226.00,0.00018,0.61,
335.00,193.00,0.00018,4.36,
170.00,387.00,0.0003,1.37,
